,Region,Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
20,J,G COFFEE,Coffee shop,4.5,1596.0,$$,True,True,False
21,J,Kavun,Coffee shop,4.7,1785.0,$$,True,True,False
53,F,Koko,Coffee shop,4.4,1201.0,$$,False,True,True
81,A,Traveler`s Coffee,Coffee shop,4.6,2700.0,$$,True,True,True
89,A,Zheto,Coffee shop,4.8,2141.0,$$,False,True,True
100,E,Lviv Coffee Manufacture,Coffee shop,4.7,17937.0,$$,True,True,True
101,E,Svit Kavy,Coffee shop,4.6,2931.0,$$,False,True,True
102,E,Na bambetli,Coffee shop,4.7,2089.0,$$,False,True,True
104,E,Lviv coffee manufacture (Valova),Coffee shop,4.6,1517.0,$$,False,True,True
109,E,Lʹvivsʹka Manufaktura Kavy,Coffee shop,4.6,1009.0,$$,False,True,True
110,E,Вірменка,Coffee shop,4.8,2873.0,$$,False,True,True
114,E,Svit Kavy (Rynok Sq.),Coffee shop,4.6,1284.0,$$,False,True,True
148,G,ONE LOVE espresso bar,Coffee shop,4.6,2319.0,$$,False,True,True
165,I,Kofeyin,Coffee shop,4.5,2914.0,$$,False,True,True
178,I,KOFEiN®,Coffee shop,4.6,1758.0,$$,False,True,True
192,H,Try Bobry,Coffee shop,4.6,2013.0,$$,False,True,True
